Order ID;Request ID;Client ID;Company Name;Order Date;Channel;SKU;Product Name;Qty;Unit Price (€);Line Total (€);Express;Delivery Address;Requested Date;Delivery Date;Status;Invoice ID;Paid;Payment Date;Agent Decision;Human Validation;Notes
ORD-2024-0881;req_20241105_0912;CLI-00892;Fonderie du Nord;2024-11-05;email;SKF-6204-2RS;Roulement rigide à billes 6204-2RS;10;4,20 €;42,00 €;FAUX;12 Rue de l'Industrie, 59000 Lille;2024-11-07;2024-11-07;delivered;INV-2024-0881;VRAI;2024-12-05;accepted;;Stock OK. Prix contrat cadre -38%.
ORD-2024-0881;req_20241105_0912;CLI-00892;Fonderie du Nord;2024-11-05;email;PARKER-OR-50X3-NBR;Joint torique NBR 50×3 mm;4;0,72 €;2,88 €;FAUX;12 Rue de l'Industrie, 59000 Lille;2024-11-07;2024-11-07;delivered;INV-2024-0881;VRAI;2024-12-05;accepted;;Prix contrat -24%.
ORD-2024-0764;req_20241015_1423;CLI-00892;Fonderie du Nord;2024-10-15;whatsapp_voice;SKF-6204-2RS;Roulement rigide à billes 6204-2RS;6;4,20 €;25,20 €;VRAI;12 Rue de l'Industrie, 59000 Lille;2024-10-16;2024-10-16;delivered;INV-2024-0764;VRAI;2024-11-15;accepted;;Urgence machine. Express +€15 facturé séparément.
ORD-2024-0764;req_20241015_1423;CLI-00892;Fonderie du Nord;2024-10-15;whatsapp_voice;SKF-SYSTEM24-LAGD125;Graisseur automatique SKF SYSTEM 24 125 cm³;2;38,00 €;76,00 €;VRAI;12 Rue de l'Industrie, 59000 Lille;2024-10-16;2024-10-16;delivered;INV-2024-0764;VRAI;2024-11-15;negotiated;;Substitut accepté : modèle 250 cm³ en rupture → 125 cm³ proposé.
ORD-2024-0612;req_20240920_0845;CLI-00892;Fonderie du Nord;2024-09-20;email;HYDAC-HF7553;Filtre hydraulique haute pression HF7553;5;28,50 €;142,50 €;FAUX;12 Rue de l'Industrie, 59000 Lille;2024-09-24;2024-09-24;delivered;INV-2024-0612;VRAI;2024-10-20;accepted;;Prix contrat -19%.
ORD-2024-0612;req_20240920_0845;CLI-00892;Fonderie du Nord;2024-09-20;email;SCHNEIDER-XB4BVB3;Voyant lumineux LED 24V Ø22mm bleu;10;12,40 €;124,00 €;FAUX;12 Rue de l'Industrie, 59000 Lille;2024-09-24;2024-09-24;delivered;INV-2024-0612;VRAI;2024-10-20;accepted;;Prix catalogue.
ORD-2024-0891;req_20241110_1530;CLI-00341;Eiffage TP Bordeaux;2024-11-10;email_pdf;DIN-931-M12X60-109;Boulon hexagonal haute résistance M12×60 cl.10.9;500;0,40 €;200,00 €;FAUX;Chantier A89 – RD 1089, 33000 Bordeaux;2024-11-13;2024-11-13;delivered;INV-2024-0891;FAUX;;accepted;;BC PDF Eiffage n° EIF-2024-4412. Facture non réglée à J+12.
ORD-2024-0891;req_20241110_1530;CLI-00341;Eiffage TP Bordeaux;2024-11-10;email_pdf;PARKER-OR-50X3-NBR;Joint torique NBR 50×3 mm;20;0,90 €;18,00 €;FAUX;Chantier A89 – RD 1089, 33000 Bordeaux;2024-11-13;2024-11-13;delivered;INV-2024-0891;FAUX;;accepted;;
ORD-2024-0743;req_20241008_0910;CLI-00341;Eiffage TP Bordeaux;2024-10-08;email;DIN-931-M12X60-109;Boulon hexagonal haute résistance M12×60 cl.10.9;1000;0,38 €;380,00 €;FAUX;Dépôt Eiffage, 33100 Bordeaux;2024-10-11;2024-10-11;delivered;INV-2024-0743;VRAI;2024-12-08;negotiated;;Remise volume -10% sur 1000 pcs négociée. Payé J+61.
ORD-2024-0599;req_20240915_1120;CLI-00341;Eiffage TP Bordeaux;2024-09-15;email_pdf;FESTO-JMFH-5-1/4;Distributeur pneumatique 5/2 bistable G1/4;3;148,00 €;444,00 €;FAUX;Dépôt Eiffage, 33100 Bordeaux;2024-09-22;2024-09-22;delivered;INV-2024-0599;VRAI;2024-11-14;accepted;;Retard paiement 14j. Relance auto envoyée J+30.
