order_id;request_id;client_id;company_name;order_date;channel;sku_code;product_name;quantity;unit_price;total_price;express;delivery_adress;requested_date;delivery_date;status;invoice_id;paid;payment_date;agent_decision;human_validation;notes
ORD-2024-0881;req_20241105_0912;CLI-00892;Fonderie du Nord;2024-11-05;email;SKF-6204-2RS;Deep groove ball bearing 6204-2RS;10;4.20;42.00;FALSE;12 Rue de l'Industrie, 59000 Lille;2024-11-07;2024-11-07;delivered;INV-2024-0881;TRUE;2024-12-05;accepted;;Stock OK. Framework contract price -38%.
ORD-2024-0881;req_20241105_0912;CLI-00892;Fonderie du Nord;2024-11-05;email;PARKER-OR-50X3-NBR;NBR O-ring 50×3 mm;4;0.72;2.88;FALSE;12 Rue de l'Industrie, 59000 Lille;2024-11-07;2024-11-07;delivered;INV-2024-0881;TRUE;2024-12-05;accepted;;Contract price -24%.
ORD-2024-0764;req_20241015_1423;CLI-00892;Fonderie du Nord;2024-10-15;whatsapp_voice;SKF-6204-2RS;Deep groove ball bearing 6204-2RS;6;4.20;25.20;TRUE;12 Rue de l'Industrie, 59000 Lille;2024-10-16;2024-10-16;delivered;INV-2024-0764;TRUE;2024-11-15;accepted;;Machine emergency. Express +€15 billed separately.
ORD-2024-0764;req_20241015_1423;CLI-00892;Fonderie du Nord;2024-10-15;whatsapp_voice;SKF-SYSTEM24-LAGD125;SKF SYSTEM 24 Automatic Lubricator, 125 cm³;2;38.00;76.00;TRUE;12 Rue de l'Industrie, 59000 Lille;2024-10-16;2024-10-16;delivered;INV-2024-0764;TRUE;2024-11-15;negotiated;;Substitute accepted: 250 cm³ model out of stock → 125 cm³ proposed.
ORD-2024-0612;req_20240920_0845;CLI-00892;Fonderie du Nord;2024-09-20;email;HYDAC-HF7553;High-pressure hydraulic filter HF7553;5;28.50;142.50;FALSE;12 Rue de l'Industrie, 59000 Lille;2024-09-24;2024-09-24;delivered;INV-2024-0612;TRUE;2024-10-20;accepted;;Contract price -19%.
ORD-2024-0612;req_20240920_0845;CLI-00892;Fonderie du Nord;2024-09-20;email;SCHNEIDER-XB4BVB3;LED indicator light 24V Ø22mm blue;10;12.40;124.00;FALSE;12 Rue de l'Industrie, 59000 Lille;2024-09-24;2024-09-24;delivered;INV-2024-0612;TRUE;2024-10-20;accepted;;Catalogue price.
ORD-2024-0891;req_20241110_1530;CLI-00341;Eiffage TP Bordeaux;2024-11-10;email_pdf;DIN-931-M12X60-109;High-strength hex bolt M12×60 cl.10.9;500;0.40;200.00;FALSE;Chantier A89 – RD 1089, 33000 Bordeaux;2024-11-13;2024-11-13;delivered;INV-2024-0891;FALSE;;accepted;;Eiffage PDF PO n° EIF-2024-4412. Invoice unpaid at D+12.
ORD-2024-0891;req_20241110_1530;CLI-00341;Eiffage TP Bordeaux;2024-11-10;email_pdf;PARKER-OR-50X3-NBR;NBR O-ring 50×3 mm;20;0.90;18.00;FALSE;Chantier A89 – RD 1089, 33000 Bordeaux;2024-11-13;2024-11-13;delivered;INV-2024-0891;FALSE;;accepted;;
ORD-2024-0743;req_20241008_0910;CLI-00341;Eiffage TP Bordeaux;2024-10-08;email;DIN-931-M12X60-109;High-strength hex bolt M12×60 cl.10.9;1000;0.38;380.00;FALSE;Dépôt Eiffage, 33100 Bordeaux;2024-10-11;2024-10-11;delivered;INV-2024-0743;TRUE;2024-12-08;negotiated;;Volume discount -10% on 1000 pcs negotiated. Paid D+61.
ORD-2024-0599;req_20240915_1120;CLI-00341;Eiffage TP Bordeaux;2024-09-15;email_pdf;FESTO-JMFH-5-1/4;5/2 bistable pneumatic directional valve G1/4;3;148.00;444.00;FALSE;Dépôt Eiffage, 33100 Bordeaux;2024-09-22;2024-09-22;delivered;INV-2024-0599;TRUE;2024-11-14;accepted;;Payment delay 14 days. Auto reminder sent at D+30.
